Campaign Name,Start Date,End Date,Channel,Cost,Leads Generated,Conversion Rate,Customers Converted,Revenue Generated
Back to School Campaign 235,2023-01-01,2023-01-28,TV,7121.89,645,0.1,65,5197.81
Winter Promo Campaign 236,2023-03-04,2023-03-29,TV,6734.65,480,0.5,239,71643.87
Q3 Blitz Campaign 237,2023-03-10,2023-04-02,Google Ads,3991.45,94,0.78,73,9032.77
Holiday Special Campaign 238,2023-02-09,2023-02-25,Social Media,3373.51,523,0.08,42,6600.45
Q3 Blitz Campaign 239,2023-04-09,2023-05-03,TV,6802.87,966,0.05,53,19358.99
Holiday Special Campaign 240,2023-02-12,2023-03-13,Email,5549.81,540,0.29,156,55201.31
Summer Sale Campaign 241,2023-02-11,2023-02-19,TV,4337.47,85,0.14,12,3315.13
Summer Sale Campaign 242,2023-02-25,2023-03-11,Social Media,4973.69,522,0.27,142,38581.43
Winter Promo Campaign 243,2023-04-16,2023-05-02,Email,8124.44,360,0.31,111,37143.52
Q1 Launch Campaign 244,2023-03-15,2023-04-10,TV,6792.28,499,0.86,431,47777.42
Winter Promo Campaign 245,2023-04-06,2023-05-04,Print,5897.28,56,0.79,44,19267.86
Holiday Special Campaign 246,2023-06-29,2023-07-11,Social Media,5476.26,984,0.52,510,114934.77
Back to School Campaign 247,2023-03-22,2023-04-17,Google Ads,5315.5,750,0.47,351,49894.4
Back to School Campaign 248,2023-05-03,2023-05-13,Radio,4417.38,797,0.22,178,22208.3
Q1 Launch Campaign 249,2023-02-21,2023-03-14,Print,7319.65,902,0.14,130,20609.96
Q3 Blitz Campaign 250,2023-01-04,2023-01-27,TV,6285.76,942,0.96,901,126263.8
Back to School Campaign 251,2023-05-27,2023-06-14,TV,4833.88,187,0.95,177,44235.71
Back to School Campaign 252,2023-03-02,2023-03-10,Google Ads,1047.47,129,0.5,64,23608.11
Back to School Campaign 253,2023-01-23,2023-02-02,Social Media,1193.27,603,0.5,302,141025.57
Back to School Campaign 254,2023-06-08,2023-07-02,Radio,6546.07,622,0.7,435,119788.31
Q3 Blitz Campaign 255,2023-04-18,2023-05-05,Radio,1962.44,728,0.65,473,152967.08
Q1 Launch Campaign 256,2023-05-22,2023-06-10,TV,8840.73,897,0.79,705,64359.07
Q1 Launch Campaign 257,2023-06-30,2023-07-11,Email,1192.89,899,0.11,102,23445.01
Holiday Special Campaign 258,2023-02-28,2023-03-13,TV,9673.75,715,0.92,658,216327.76
Summer Sale Campaign 259,2023-04-26,2023-05-23,Email,4610.13,384,0.43,165,54521.7
Summer Sale Campaign 260,2023-02-22,2023-03-11,Email,2041.27,238,0.54,128,34940.18
Back to School Campaign 261,2023-03-19,2023-04-16,Email,9860.95,324,0.71,229,82163.43
Winter Promo Campaign 262,2023-06-02,2023-06-13,Radio,2650.06,739,0.05,34,5469.05
Winter Promo Campaign 263,2023-02-17,2023-02-26,Print,7219.36,880,0.24,215,19013.47
Holiday Special Campaign 264,2023-02-07,2023-02-16,Google Ads,5913.19,136,0.91,124,50262.36
Back to School Campaign 265,2023-01-25,2023-02-02,TV,6927.64,975,0.23,223,84776.54
Q1 Launch Campaign 266,2023-05-29,2023-06-21,Print,9284.85,951,0.24,227,102094.58
Q1 Launch Campaign 267,2023-03-03,2023-03-10,Print,2185.33,314,0.35,109,24820.19
Q1 Launch Campaign 268,2023-01-11,2023-02-03,Email,7223.13,414,0.72,297,38199.03
Holiday Special Campaign 269,2023-06-06,2023-07-03,Print,5674.55,828,0.59,486,62212.73
Winter Promo Campaign 270,2023-02-10,2023-03-01,Email,2243.97,171,0.58,100,40551.07
Winter Promo Campaign 271,2023-04-14,2023-04-27,TV,1655.08,400,0.55,218,63644.76
Back to School Campaign 272,2023-04-09,2023-04-17,Social Media,3928.06,482,0.94,453,122692.75
Holiday Special Campaign 273,2023-04-04,2023-04-24,Email,8308.79,732,0.06,46,2659.06
Q1 Launch Campaign 274,2023-05-04,2023-05-28,TV,6144.67,927,0.88,817,54989.25
Winter Promo Campaign 275,2023-04-30,2023-05-20,Google Ads,7795.94,632,0.36,227,87402.06
Q1 Launch Campaign 276,2023-02-17,2023-03-16,Radio,7242.01,872,0.33,285,113133.08
Summer Sale Campaign 277,2023-03-01,2023-03-25,Google Ads,9863.11,537,0.1,55,11584.29
Holiday Special Campaign 278,2023-01-19,2023-01-27,Email,1233.74,634,0.06,38,15578.95
Back to School Campaign 279,2023-03-25,2023-04-06,Print,4088.69,941,0.28,264,47114.61
Winter Promo Campaign 280,2023-06-11,2023-07-05,Social Media,3930.62,587,0.89,525,102866.21
Holiday Special Campaign 281,2023-02-15,2023-02-26,Social Media,1715.27,61,0.79,48,11392.16
Summer Sale Campaign 282,2023-01-26,2023-02-11,Email,2953.99,654,0.16,106,33255.48
Q3 Blitz Campaign 283,2023-04-07,2023-04-28,Radio,5996.83,560,0.94,528,34296.92
